[2024-06-06T03:47:26.241Z] Attempting to play song: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Started playing: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Updated bot's status: Now Playing - Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:47.291Z] Finished playing: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:47.292Z] Attempting to play song: Rihanna - Diamonds
[2024-06-06T03:47:48.288Z] Started playing: Rihanna - Diamonds
[2024-06-06T03:47:48.289Z] Updated bot's status: Now Playing - Rihanna - Diamonds
[2024-06-06T03:47:57.169Z] Finished playing: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:57.169Z] Attempting to play song: 3 Second Video
[2024-06-06T03:47:57.171Z] Finished playing: Rihanna - Diamonds
[2024-06-06T03:47:57.172Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.171Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.172Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.171Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.173Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.173Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.172Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.174Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.174Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.174Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.175Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.175Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.175Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.176Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.176Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.176Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.177Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.177Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.178Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.178Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.178Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.177Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.179Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.179Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.180Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.180Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.179Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.181Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.181Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.180Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.181Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.181Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.182Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.182Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.182Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.183Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.183Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.183Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.184Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.184Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.184Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.185Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.185Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.186Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.186Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.187Z] Error playing song - Cannot read properties of undefined (reading 'title')
